100,1,225700,2,264200,3,300900,4,330800,5,364400,6,407800,7,441000,8,475200,9,509700,10,544700,11,618600,12,680200,13,756400,14,864900,15,898000,16,979300,17,1014100,18,1047300,19,1079700,20,1113800,21,1146300,22,1205300,23,1239900,24,1273100,25,1306000,26,1332600,27,1354000,28,1376200,29,1398600,30,1422400,31,1444800,32,1471000,33,1496700,34,1523000,35,1543200,36,1563500,37,1586300,38,1611700,39,1633800,40,1654400,41,1674000,42,1694200,43,1717800,44,1739100,45,1775800,46,1805000,47,1833800,48,1855500,49,1881800,50,1905000
200,1,50500,2,97000,3,146100,4,191600,5,240300,6,284500,7,334200,8,382400,9,426500,10,470100,11,517500,12,566600,13,614400,14,664900,15,708600,16,752600,17,794700,18,840500,19,883200,20,926000,21,968900,22,1016400,23,1058100,24,1105900,25,1148100,26,1193500,27,1236500,28,1280300,29,1328800,30,1378700,31,1423200,32,1466500,33,1509700,34,1553000,35,1597300,36,1645400,37,1691900,38,1782700,39,1824000,40,1866800,41,1911600,42,1943300,43,1973500,44,2002800,45,2034200,46,2065500,47,2155400,48,2198700,49,2239000,50,2270000
300,1,68200,2,176300,3,242900,4,295000,5,343800,6,389200,7,437400,8,483300,9,533400,10,583300,11,617900,12,646900,13,672200,14,696700,15,726600,16,751800,17,777600,18,805100,19,830400,20,858400,21,883900,22,908600,23,935800,24,970500,25,996000,26,1023400,27,1048200,28,1075800,29,1109200,30,1143700,31,1171600,32,1196700,33,1222300,34,1251500,35,1276400,36,1304100,37,1338500,38,1377000,39,1416400,40,1452400,41,1487200,42,1528600,43,1564100,44,1610700,45,1646700,46,1683700,47,1722600,48,1760500,49,1796000,50,1834800
400,1,55100,2,141000,3,176300,4,243800,5,296700,6,368600,7,455100,8,536100,9,579000,10,632400,11,688700,12,740200,13,792900,14,841800,15,897200,16,948700,17,1010000,18,1065200,19,1112300,20,1161800,21,1215200,22,1265500,23,1381200,24,1433500,25,1495500,26,1541500,27,1599000,28,1651000,29,1708900,30,1768000,31,1824700,32,1875500,33,1923400,34,1973500,35,2024500,36,2078800,37,2132500,38,2187500,39,2235800,40,2283700,41,2331800,42,2390800,43,2445100,44,2500900,45,2556100,46,2600000,47,2644200,48,2692900,49,2747200,50,2800600
500,1,128200,2,194200,3,256500,4,339900,5,432900,6,550900,7,653000,8,744600,9,844700,10,913700,11,1015500,12,1080900,13,1195100,14,1285300,15,1396600,16,1561800,17,1627500,18,1694200,19,1760200,20,1826500,21,1893100,22,2005200,23,2073100,24,2138900,25,2210500,26,2275600,27,2340800,28,2408500,29,2526100,30,2624400,31,2738700,32,2855800,33,2966500,34,3032700,35,3098800,36,3211400,37,3326200,38,3442700,39,3540300,40,3642700,41,3754400,42,3865300,43,3973100,44,4084200,45,4376600,46,4496300,47,4560100,48,4620900,49,4684800,50,4759700
600,1,81800,2,158300,3,220300,4,313800,5,392500,6,478600,7,559100,8,638100,9,721600,10,804100,11,886700,12,975300,13,1058100,14,1141000,15,1219500,16,1296300,17,1403300,18,1480800,19,1581000,20,1672100,21,1752900,22,1830800,23,1915600,24,1998500,25,2257900,26,2341200,27,2420400,28,2503800,29,2593800,30,2674000,31,2755000,32,2842000,33,2926400,34,3008200,35,3088400,36,3176200,37,3260200,38,3342100,39,3480100,40,3556800,41,3628600,42,3699800,43,3780700,44,3855800,45,3935300,46,4012300,47,4090300,48,4169400,49,4238300,50,4317300
700,1,95900,2,194300,3,278600,4,349200,5,418200,6,504600,7,627800,8,729100,9,801100,10,874500,11,970900,12,1058700,13,1153300,14,1241900,15,1311100,16,1378500,17,1473700,18,1596400,19,1691300,20,1784500,21,1875400,22,1965000,23,2124100,24,2259700,25,2326900,26,2393400,27,2459200,28,2550900,29,2656500,30,2726600,31,2793500,32,2888100,33,2986600,34,3055000,35,3160100,36,3227400,37,3295300,38,3362600,39,3487000,40,3579200,41,3705000,42,4070300,43,4226500,44,4323600,45,4420800,46,4519300,47,4614800,48,4711100,49,4779600,50,4872000
800,1,81800,2,162800,3,249500,4,355200,5,633300,6,755700,7,860000,8,973900,9,1086400,10,1203000,11,1305600,12,1406600,13,1517900,14,1625500,15,1738500,16,1820000,17,1898100,18,1972900,19,2077200,20,2156000,21,2233000,22,2326300,23,2404900,24,2482200,25,2587000,26,2695100,27,2781400,28,2858400,29,2942000,30,3022000,31,3099900,32,3182800,33,3311300,34,3420800,35,3534300,36,3637100,37,3748900,38,3856500,39,3984700,40,4175500,41,4281300,42,4475000,43,4659900,44,4743100,45,4822400,46,4904200,47,4985800,48,5067700,49,5169600,50,5252200
900,1,91800,2,182200,3,271800,4,360800,5,450500,6,536400,7,622300,8,711800,9,802000,10,894000,11,989200,12,1079600,13,1168800,14,1256600,15,1350600,16,1443800,17,1535200,18,1623100,19,1711500,20,1800200,21,1888800,22,1971600,23,2057300,24,2145200,25,2233900,26,2320700,27,2411300,28,2499700,29,2590500,30,2725700,31,2815700,32,2905100,33,2994800,34,3083600,35,3173300,36,3262800,37,3350900,38,3437700,39,3528500,40,3616100,41,3704000,42,3792000,43,3880900,44,3968300,45,4059900,46,4149600,47,4237600,48,4326800,49,4413900,50,4503600
1000,1,105600,2,245800,3,346000,4,445600,5,589500,6,720100,7,845300,8,974500,9,1074200,10,1202300,11,1342500,12,1560000,13,1685900,14,1832200,15,1977800,16,2080700,17,2235300,18,2399200,19,2533000,20,2636100,21,2776700,22,2886300,23,3027600,24,3199100,25,3298500,26,3401200,27,3501900,28,3608900,29,3711300,30,3811200,31,3912200,32,4016300,33,4146300,34,4250900,35,4390300,36,4494500,37,4671600,38,4835400,39,5056500,40,5206500,41,5435400,42,5637500,43,5761900,44,5903700,45,6004200,46,6403400,47,6534500,48,6906700,49,7012300,50,7113000
100,1,599700,2,681900,3,713000,4,752700,5,782800,6,817700,7,985300,8,1019700,9,1074600,10,1137200,11,1167800,12,1201800,13,1235500,14,1270900,15,1301200,16,1345500,17,1375900,18,1406000,19,1442000,20,1476200,21,1507100,22,1537100,23,1565900,24,1595300,25,1625700,26,1665000,27,1723900,28,1747800,29,1769400,30,1790700,31,1815000,32,1836100,33,1856800,34,1883500,35,1907600,36,1929000,37,1953900,38,1975700,39,1996300,40,2022400,41,2050800,42,2238900,43,2262700,44,2285000,45,2306100,46,2335400,47,2362000,48,2385800,49,2449900,50,2473400
200,1,35100,2,80800,3,123200,4,171800,5,220800,6,269500,7,313700,8,360100,9,404700,10,448300,11,496400,12,540000,13,584600,14,633900,15,676700,16,722300,17,766800,18,813700,19,855900,20,899500,21,945300,22,995300,23,1043100,24,1094100,25,1138200,26,1182100,27,1224500,28,1269400,29,1316800,30,1359300,31,1402200,32,1442200,33,1483200,34,1526000,35,1571500,36,1614400,37,1658200,38,1699300,39,1740700,40,1799500,41,1841000,42,1883900,43,1926000,44,1968900,45,2019000,46,2061100,47,2102800,48,2144600,49,2187800,50,2234100
300,1,80300,2,191000,3,260200,4,332700,5,402200,6,454500,7,490300,8,525500,9,559700,10,585200,11,626300,12,662800,13,699000,14,742700,15,778700,16,814400,17,851400,18,889300,19,927600,20,963500,21,999200,22,1038300,23,1076700,24,1113800,25,1150200,26,1186500,27,1227500,28,1266000,29,1304200,30,1344900,31,1382700,32,1419300,33,1456200,34,1490200,35,1528500,36,1561800,37,1622400,38,1663100,39,1701000,40,1737100,41,1774100,42,1811100,43,1850600,44,1897400,45,1933300,46,1973900,47,2011300,48,2049800,49,2084800,50,2122200
400,1,37600,2,73800,3,122500,4,160000,5,194300,6,229600,7,265300,8,299200,9,336300,10,374300,11,408700,12,466700,13,517400,14,567600,15,622700,16,680600,17,737600,18,786900,19,838000,20,888800,21,941400,22,988400,23,1042500,24,1093500,25,1144900,26,1181200,27,1222100,28,1264100,29,1301200,30,1338000,31,1373400,32,1408300,33,1442800,34,1488400,35,1525000,36,1563500,37,1598200,38,1639400,39,1673900,40,1709600,41,1745700,42,1783100,43,1818100,44,1851300,45,1887000,46,1921900,47,1959100,48,1995700,49,2032400,50,2066100
500,1,52300,2,101600,3,149700,4,196200,5,241900,6,298700,7,350100,8,396000,9,438900,10,483100,11,528100,12,573000,13,683900,14,788800,15,872100,16,997400,17,1065800,18,1146300,19,1237300,20,1342200,21,1454000,22,1570500,23,1687600,24,1802800,25,1850400,26,1896900,27,1942200,28,1987600,29,2048700,30,2120100,31,2191600,32,2238800,33,2286300,34,2333600,35,2380100,36,2428600,37,2474800,38,2521000,39,2567300,40,2611700,41,2656700,42,2701400,43,2746900,44,2793000,45,2840400,46,2885000,47,2929200,48,2976400,49,3022600,50,3125300
600,1,60800,2,117700,3,186300,4,286200,5,368500,6,448800,7,532000,8,615000,9,698400,10,789200,11,882600,12,962500,13,1043700,14,1128400,15,1212100,16,1292600,17,1374500,18,1442700,19,1580000,20,1654900,21,1737700,22,1813000,23,1890300,24,1960100,25,2272300,26,2351500,27,2432800,28,2510300,29,2735100,30,2806100,31,2883500,32,2963100,33,3036700,34,3110400,35,3186900,36,3259800,37,3359800,38,3438200,39,3512000,40,3583900,41,3681800,42,3754500,43,3837200,44,3920300,45,4127800,46,4214800,47,4350600,48,4427900,49,4580000,50,4679500
700,1,92300,2,189300,3,276200,4,399000,5,466900,6,534800,7,598700,8,668900,9,734800,10,805900,11,871600,12,991200,13,1080600,14,1233300,15,1312900,16,1422600,17,1563400,18,1634900,19,1700900,20,1789800,21,1862200,22,1931100,23,1994700,24,2069900,25,2141500,26,2210400,27,2273700,28,2339500,29,2402800,30,2470300,31,2536000,32,2608100,33,2676600,34,2763200,35,2903100,36,3048000,37,3186500,38,3347400,39,3415900,40,3485200,41,3551400,42,3615500,43,3681400,44,3760600,45,3828200,46,3893600,47,3960800,48,4039100,49,4186800,50,4315400
800,1,83800,2,162700,3,242900,4,319000,5,395800,6,473100,7,550400,8,627200,9,705900,10,823800,11,980000,12,1155400,13,1330400,14,1410700,15,1492100,16,1592300,17,1675100,18,1752200,19,1826400,20,1909200,21,1987800,22,2065400,23,2144400,24,2222800,25,2328300,26,2431200,27,2517800,28,2596600,29,2673900,30,2751400,31,2828800,32,2906000,33,2998500,34,3078200,35,3187300,36,3280100,37,3357500,38,3435800,39,3522500,40,3602100,41,3679400,42,3756900,43,3833600,44,3908100,45,3985400,46,4063300,47,4140200,48,4217100,49,4294400,50,4371000
900,1,91700,2,183100,3,269200,4,361300,5,447200,6,535000,7,621300,8,758400,9,956300,10,1153100,11,1295300,12,1409400,13,1502100,14,1591900,15,1706800,16,1893600,17,2029300,18,2120100,19,2211200,20,2297400,21,2385200,22,2499600,23,2619300,24,2750700,25,2839300,26,3055700,27,3247200,28,3368400,29,3458600,30,3550000,31,3682200,32,3795300,33,3925000,34,4047100,35,4165900,36,4295100,37,4408500,38,4558400,39,4680000,40,4793500,41,4904800,42,5019900,43,5112600,44,5203500,45,5326100,46,5524900,47,5639100,48,5730100,49,5817700,50,5933600
1000,1,121000,2,248900,3,352800,4,944900,5,1087800,6,1233300,7,1352800,8,1456300,9,1554600,10,1775900,11,1892300,12,2029900,13,2136100,14,2255300,15,2401500,16,2500000,17,2602100,18,2822900,19,3042100,20,3213400,21,3426900,22,3647300,23,3750800,24,3849900,25,3950200,26,4048500,27,4200400,28,4355700,29,4494500,30,4625800,31,4740700,32,4870500,33,4968700,34,5069000,35,5169900,36,5271600,37,5373100,38,5508000,39,5609400,40,5710600,41,5810400,42,5913500,43,6127300,44,6295800,45,6397600,46,6499300,47,6811700,48,6947700,49,7046800,50,7146300
100,1,478800,2,511900,3,544400,4,578900,5,608100,6,638900,7,669200,8,704500,9,741300,10,771900,11,804200,12,837500,13,867900,14,897000,15,930200,16,971800,17,1005600,18,1034700,19,1064800,20,1096700,21,1127400,22,1160800,23,1190300,24,1226100,25,1254400,26,1282700,27,1311200,28,1348200,29,1371300,30,1393800,31,1419600,32,1440400,33,1463500,34,1486400,35,1508500,36,1530900,37,1555900,38,1578400,39,1600400,40,1622300,41,1643800,42,1664500,43,1685500,44,1711700,45,1733200,46,1755200,47,1782900,48,1804800,49,1829000,50,1850400
